# Total: 352 exercises
id,name,primaryMuscle,secondaryMuscles,movementPattern,angle,equipment,difficultyLevel,exerciseType
ab-crunch,Ab Crunch,Core,Hip Flexors,core_anterior,none,bodyweight,beginner,bodyweight_only
ab-wheel-rollout,Ab Wheel Rollout,Core,Shoulders | Lats,core_anterior,none,bodyweight,advanced,bodyweight_only
archer-push-up,Archer Push-Up,Chest,Triceps | Shoulders,horizontal_push,flat,bodyweight,advanced,bodyweight_only
arnold-press,Arnold Press,Shoulders,Triceps | Front Delts,vertical_push,overhead,dumbbell,intermediate,free_weights_accessories
assault-bike,Assault Bike,Quads,Shoulders | Core,cardio,none,machine,intermediate,machine
assisted-pull-up,Assisted Pull-Up,Lats,Upper Back | Biceps,vertical_pull,overhead,machine,beginner,machine
assisted-tricep-dip,Assisted Tricep Dip,Triceps,Chest,vertical_push,decline,bodyweight,beginner,machine
australian-pull-up,Australian Pull-Up,Upper Back,Biceps | Rear Delts,horizontal_pull,flat,bodyweight,beginner,bodyweight_only
axe-hold,Axe Hold,Forearms,Shoulders | Biceps,carry,flat,dumbbell,beginner,free_weights_accessories
b-stance-rdl,B-Stance Romanian Deadlift,Hamstrings,Glutes,hip_hinge,none,dumbbell,intermediate,free_weights_accessories
back-extension,Back Extension,Lower Back,Glutes | Hamstrings,hip_hinge,prone,bodyweight,beginner,bodyweight_only
back-squat,Back Squat,Quads,Glutes | Hamstrings | Core,squat,none,barbell,advanced,barbell
banded-clamshell,Banded Clamshell,Abductors,Glutes,isolation_legs,none,resistance_band,beginner,free_weights_accessories
banded-deadlift,Banded Deadlift,Hamstrings,Glutes | Lower Back | Traps,hip_hinge,none,resistance_band,intermediate,free_weights_accessories
banded-hip-thrust,Banded Hip Thrust,Glutes,Hamstrings,hip_hinge,none,resistance_band,beginner,free_weights_accessories
banded-lateral-walk,Banded Lateral Walk,Abductors,Glutes,isolation_legs,none,resistance_band,beginner,free_weights_accessories
banded-pull-through,Banded Pull-Through,Glutes,Hamstrings,hip_hinge,none,resistance_band,beginner,free_weights_accessories
barbell-21s,Barbell 21s,Biceps,Forearms,isolation_pull,none,barbell,intermediate,barbell
barbell-bent-over-row,Barbell Bent-Over Row,Upper Back,Lats | Biceps | Rear Delts,horizontal_pull,flat,barbell,intermediate,barbell
barbell-curl,Barbell Curl,Biceps,Forearms,isolation_pull,none,barbell,beginner,barbell
barbell-front-raise,Barbell Front Raise,Front Delts,Upper Chest,isolation_push,none,barbell,beginner,barbell
barbell-hack-squat,Barbell Hack Squat,Quads,Glutes,squat,none,barbell,advanced,barbell
barbell-hip-thrust,Barbell Hip Thrust,Glutes,Hamstrings,hip_hinge,none,barbell,intermediate,barbell
barbell-lunge,Barbell Lunge,Quads,Glutes | Hamstrings,lunge,none,barbell,intermediate,barbell
barbell-row-underhand,Barbell Row (Underhand),Upper Back,Biceps | Lats,horizontal_pull,flat,barbell,intermediate,barbell
barbell-shrug,Barbell Shrug,Traps,Rhomboids | Forearms,isolation_pull,none,barbell,beginner,barbell
barbell-skull-crusher,Barbell Skull Crusher,Triceps,Front Delts,isolation_push,flat,barbell,intermediate,barbell
barbell-squat,Barbell Squat,Quads,Glutes | Lower Back,squat,none,barbell,advanced,barbell
barbell-walking-lunge,Barbell Walking Lunge,Quads,Glutes | Hamstrings | Core,lunge,none,barbell,intermediate,barbell
battle-ropes,Battle Ropes,Shoulders,Core | Back,cardio,none,none,intermediate,free_weights_accessories
bayesian-curl,Bayesian Curl,Biceps,Forearms,isolation_pull,incline,cable,intermediate,machine
bear-crawl,Bear Crawl,Shoulders,Core | Quads | Hip Flexors,cardio,none,bodyweight,intermediate,bodyweight_only
bear-walk,Bear Walk,Chest,Shoulders | Core | Triceps,horizontal_push,flat,bodyweight,beginner,bodyweight_only
belt-squat,Belt Squat,Quads,Glutes,squat,none,machine,intermediate,machine
